Index,1_WD_COS,1_WD_SIN,1_NO,1_NH3,1_SO2,1_FOR,1_NO2,1_BEN,1_TOL,1_pXY,1_mXY,1_123TMB,1_oXY,1_ETB,1_STY,1_CO2,1_CH4,1_H2S,1_CO,1_WS,1_TEMP,1_ATP,1_SR,1_o3ppb,8hro3ppb
0,0.269,-0.963,11.400,5.500,14.100,7.100,79.200,1.900,1.100,4.800,5.200,4.900,4.800,26.000,8.500,875.200,1.200,1.300,0.600,1.600,11.900,102.100,1.400,6.530,13.900
1,0.124,-0.992,15.500,4.700,9.700,8.700,83.900,2.200,2.600,4.800,5.200,3.900,6.100,22.600,3.400,929.300,1.300,1.100,0.600,1.600,11.400,102.100,1.400,8.060,13.900
2,0.167,-0.986,10.100,5.100,22.200,8.000,70.700,1.600,7.200,3.500,3.900,3.900,4.300,23.900,5.100,964.900,1.200,1.300,0.500,1.400,10.900,102.100,1.500,10.310,13.900
3,0.322,-0.947,9.100,3.700,28.300,7.800,57.300,1.300,10.200,3.900,3.000,2.500,3.500,26.500,6.000,984.000,1.200,1.300,0.300,1.800,10.500,102.100,1.400,13.320,13.900
4,0.421,-0.907,5.300,3.300,40.500,3.700,32.300,1.300,7.500,3.500,1.300,2.500,3.000,34.700,6.000,977.100,1.200,1.000,0.200,2.700,10.300,102.100,1.400,22.730,13.900
5,0.613,-0.790,4.200,4.400,7.600,4.700,33.800,1.600,6.400,3.500,2.200,2.500,3.900,31.700,8.100,1070.100,1.300,0.700,0.200,2.800,10.400,102.200,1.400,21.040,13.900
6,0.628,-0.778,11.000,4.400,6.300,7.500,62.600,1.000,8.700,3.500,2.200,2.000,3.500,29.100,4.300,980.900,1.300,0.600,0.300,2.600,10.100,102.200,15.800,11.950,13.900
7,0.653,-0.757,9.200,5.100,5.200,5.300,40.000,1.300,7.900,3.500,2.200,4.900,4.300,30.400,6.000,944.600,1.200,0.400,0.300,3.100,10.300,102.300,140.100,17.320,13.908
8,0.579,-0.815,12.800,3.700,8.900,7.500,33.100,1.900,7.900,3.500,3.500,5.900,5.200,37.300,6.000,790.600,1.200,0.400,0.300,3.200,11.300,102.300,316.600,20.120,15.606
9,0.677,-0.736,9.600,3.500,10.700,5.300,19.600,1.600,7.500,3.500,2.200,4.900,5.200,54.700,3.000,1090.800,1.400,0.600,0.200,4.700,12.400,102.300,465.400,28.370,18.145
10,0.591,-0.807,10.400,1.900,17.500,5.500,15.600,1.900,6.000,3.000,3.000,3.900,4.300,43.000,6.000,837.200,1.200,0.600,0.200,5.100,13.500,102.200,576.800,29.720,20.571
11,0.586,-0.810,3.900,1.700,13.600,2.900,16.700,1.900,6.000,2.200,2.600,2.000,3.000,20.400,6.800,804.100,1.300,0.400,0.200,5.700,14.600,102.100,626.000,33.030,23.035
12,0.660,-0.751,3.800,2.000,10.700,2.000,10.900,1.900,5.300,1.300,2.200,2.900,1.700,8.700,9.800,846.700,1.200,0.400,0.100,5.500,15.000,102.100,611.900,34.400,24.494
13,0.595,-0.804,3.100,1.000,8.100,2.200,13.200,2.200,5.600,1.300,2.200,2.000,3.500,12.200,8.100,712.800,1.200,0.300,0.200,5.100,15.900,102.000,524.400,33.310,26.028
14,0.652,-0.758,2.900,1.900,6.500,2.300,8.800,1.900,4.100,1.300,3.500,2.900,4.300,20.000,7.200,800.500,1.000,0.300,0.100,5.500,15.900,102.000,387.100,35.910,29.023
15,0.618,-0.786,8.600,1.600,5.800,4.700,20.300,1.000,6.000,1.700,2.200,4.900,5.200,30.800,3.800,909.200,1.100,0.300,0.200,4.700,16.000,101.900,205.800,31.050,30.739
16,0.652,-0.758,9.300,2.400,7.300,5.800,42.700,1.600,6.400,2.600,3.500,5.900,5.600,35.600,4.300,831.600,1.300,0.300,0.200,4.500,15.300,102.000,43.100,25.750,31.443
17,0.579,-0.815,8.200,3.200,6.300,6.900,57.000,1.300,7.200,3.000,3.900,5.400,5.200,23.000,3.800,1010.900,1.200,0.300,0.300,3.700,14.700,102.000,1.500,20.810,30.498
18,0.440,-0.898,7.600,4.200,3.900,6.100,66.600,2.600,6.000,3.500,3.900,4.900,3.900,10.800,4.700,769.600,1.300,0.300,0.500,3.100,14.100,102.000,1.400,16.430,28.836
19,0.284,-0.959,12.400,4.000,6.500,8.800,88.200,2.900,2.600,4.300,6.100,5.900,4.800,13.000,6.000,740.800,1.300,0.600,0.600,2.600,13.700,102.000,1.400,10.130,25.974
20,0.309,-0.951,22.600,2.800,3.900,10.200,98.000,2.600,7.500,4.800,6.500,7.400,6.100,19.100,7.200,922.100,1.200,0.800,0.800,1.900,12.800,102.100,1.400,7.130,22.565
21,0.189,-0.982,27.300,3.800,3.100,3.300,94.400,3.200,12.400,5.200,6.500,6.400,5.200,16.100,8.100,996.900,1.300,1.100,0.800,1.800,12.100,102.000,1.500,5.520,19.091
22,0.249,-0.969,20.200,3.500,3.400,8.800,89.700,1.900,1.900,4.800,6.500,7.900,5.200,19.100,6.400,826.800,1.300,1.000,0.700,1.500,11.500,102.000,1.400,6.090,15.364
23,0.110,-0.994,24.900,3.100,2.400,0.100,91.400,2.900,22.600,5.600,7.800,5.900,6.500,29.500,5.100,894.800,1.100,1.000,0.800,1.300,10.900,102.000,1.400,4.150,12.001
24,-0.021,-1.000,20.000,3.600,1.600,0.100,87.200,2.900,16.900,5.200,8.200,5.900,5.200,31.200,5.500,1002.300,1.200,1.400,0.700,1.100,10.300,102.000,1.400,5.480,9.468
25,-0.208,-0.978,11.400,6.600,1.300,7.600,76.000,1.300,2.600,5.200,4.800,4.400,4.300,32.100,6.800,1064.700,1.200,1.800,0.600,1.200,9.800,102.000,1.400,6.290,7.653
26,-0.304,-0.953,15.500,4.900,1.300,8.500,80.700,1.600,1.500,5.600,6.100,6.400,6.100,42.100,5.500,1012.000,1.200,1.900,0.600,1.300,9.200,102.000,1.400,4.500,6.161
27,-0.252,-0.968,9.700,6.400,1.600,9.200,60.400,0.600,8.700,5.200,3.900,4.400,4.800,50.300,3.400,939.000,1.200,1.900,0.500,1.100,8.800,101.900,1.400,9.010,6.021
28,-0.688,-0.725,39.100,5.800,2.900,6.600,48.700,1.300,8.300,5.200,3.900,5.900,4.800,49.000,3.800,1001.600,1.200,1.800,0.300,1.500,8.200,101.900,1.400,11.140,6.523
29,-0.935,-0.355,114.800,4.600,5.500,8.300,81.400,2.600,29.000,6.100,7.800,7.400,6.500,40.800,4.300,1217.600,1.400,2.200,1.000,1.400,7.100,101.900,1.400,4.290,6.369
30,-0.967,-0.255,212.100,3.700,10.200,2.200,91.200,8.000,51.600,10.400,20.400,12.800,14.800,10.800,6.000,1018.100,1.300,2.900,1.900,1.600,6.600,102.000,19.200,6.220,6.385
31,-0.582,-0.813,192.300,4.700,6.300,2.300,89.300,7.000,55.400,10.400,21.300,11.300,14.800,12.600,4.300,973.500,1.200,3.900,2.200,1.400,7.800,102.000,136.900,6.250,6.648
32,-0.767,-0.641,93.200,9.000,5.000,3.400,84.400,4.500,21.800,7.400,11.300,6.400,8.700,29.500,4.700,865.600,1.200,4.600,1.100,1.400,9.700,102.000,306.300,7.630,6.916
33,0.007,-1.000,55.400,4.200,12.800,5.200,81.600,5.400,4.500,6.100,7.800,4.400,7.400,26.500,7.200,976.800,1.200,4.300,0.900,1.900,11.800,102.000,438.700,12.820,7.733
34,0.440,-0.898,16.800,1.700,209.000,8.300,51.000,2.600,13.600,4.300,3.500,8.800,4.800,54.700,8.100,918.900,1.300,3.300,0.300,3.200,13.300,102.000,542.400,26.990,10.544
35,0.548,-0.837,30.200,1.100,467.000,4.900,65.200,1.000,17.700,3.000,6.100,17.700,5.600,39.100,4.300,850.300,1.200,2.900,0.200,4.200,14.100,102.000,591.500,27.940,12.910
36,0.591,-0.807,11.200,1.700,101.800,4.400,29.100,2.200,10.900,1.700,5.600,9.300,3.900,19.100,6.400,901.400,1.200,2.400,0.100,4.300,14.900,101.900,534.900,38.030,16.271
37,0.596,-0.803,3.700,2.500,43.200,4.400,25.600,2.200,6.800,1.700,3.000,5.400,3.500,17.800,3.000,799.300,1.300,1.700,0.200,4.100,15.400,101.800,465.400,34.740,20.078
38,0.558,-0.830,4.800,1.200,16.500,4.400,21.100,2.200,7.200,1.700,3.900,5.900,3.000,22.600,4.300,873.900,1.200,1.400,0.200,4.100,15.600,101.800,277.300,33.440,23.480
39,0.618,-0.786,3.800,1.100,4.700,3.600,25.000,1.900,6.400,2.200,2.600,3.400,3.500,27.300,6.000,962.200,1.200,1.300,0.200,4.100,15.500,101.800,142.500,31.760,26.669
40,0.682,-0.731,3.100,2.200,3.400,5.000,43.400,2.900,7.200,3.000,3.900,3.400,3.500,35.100,3.800,941.700,1.200,1.300,0.200,3.900,14.800,101.800,30.600,28.750,29.309
41,0.542,-0.841,7.800,4.400,3.900,7.800,76.900,2.200,7.200,4.300,4.800,3.900,4.800,25.600,4.700,768.900,1.200,1.400,0.500,2.700,14.100,101.800,1.500,16.410,29.758
42,0.617,-0.787,11.200,3.300,9.200,5.800,86.300,2.600,9.400,4.300,4.800,3.400,4.800,17.800,6.800,1154.800,1.300,1.800,0.600,2.400,13.600,101.800,1.400,12.140,27.901
43,0.637,-0.771,14.000,2.700,12.800,7.700,95.300,2.600,4.100,3.900,5.200,3.900,4.300,13.900,8.900,916.500,1.300,1.900,0.600,2.300,13.000,101.800,1.400,7.640,25.364
44,0.392,-0.920,44.500,4.200,10.500,0.200,106.400,3.500,23.700,5.600,9.100,7.400,7.400,17.400,5.500,885.400,1.200,1.900,1.000,1.400,12.400,101.800,1.400,4.270,21.144
45,0.148,-0.989,90.600,3.100,11.000,1.000,103.200,6.100,45.600,8.200,17.400,11.800,12.200,33.400,3.800,851.800,1.200,2.600,1.500,1.100,11.600,101.800,1.400,4.360,17.346
46,-0.620,-0.785,157.500,2.300,8.400,3.800,94.200,5.400,51.200,10.000,18.700,13.300,15.600,18.200,5.500,985.200,1.200,3.300,1.800,1.100,10.400,101.800,1.400,4.730,13.758
47,-0.976,-0.220,251.400,3.300,8.900,2.200,80.100,6.400,52.700,10.400,18.200,14.700,20.000,11.300,3.400,980.200,1.200,5.300,2.200,1.300,9.400,101.700,1.400,5.480,10.473
48,-0.985,-0.170,137.600,5.100,6.000,0.500,76.900,4.500,41.100,7.400,13.500,13.300,16.100,31.700,4.300,899.800,1.200,5.300,1.500,1.500,8.900,101.700,1.400,4.510,7.443
49,-0.787,-0.617,172.800,3.000,5.000,1.100,78.400,6.700,47.800,8.700,15.600,9.800,15.200,16.900,6.000,919.000,1.300,4.400,1.900,1.300,9.100,101.700,1.400,4.610,5.968
50,-0.997,-0.077,128.000,4.800,5.200,2.000,77.100,4.200,37.700,7.400,10.800,6.900,11.300,27.300,5.100,936.800,1.200,4.000,1.300,1.100,8.600,101.700,1.400,3.740,4.918
51,-0.431,-0.903,62.900,10.900,2.400,7.100,77.100,2.200,20.000,5.600,6.100,5.900,6.100,39.500,5.500,1031.800,1.200,3.300,0.800,1.000,8.500,101.700,1.400,3.930,4.454
52,-0.730,-0.683,89.100,7.200,4.200,5.200,76.700,1.900,12.100,5.600,5.200,4.900,4.300,36.000,5.500,1024.600,1.100,2.900,0.700,1.200,7.700,101.700,1.400,4.300,4.458
53,-0.851,-0.525,175.200,5.800,8.100,1.700,87.100,3.500,37.700,7.800,11.300,8.400,9.500,20.800,4.700,963.300,1.300,3.300,1.400,1.300,7.400,101.700,1.400,4.580,4.485
54,-0.599,-0.801,191.700,6.700,5.800,1.700,88.700,4.800,38.800,8.700,14.300,7.400,9.100,13.500,7.700,1068.500,1.400,3.900,1.700,1.400,7.500,101.800,13.700,4.300,4.431
55,-0.115,-0.993,117.200,4.900,3.700,2.100,91.800,7.700,50.800,11.300,18.200,9.300,12.200,20.400,6.800,1119.400,1.300,3.600,1.500,1.700,8.700,101.800,134.600,5.370,4.418
56,-0.003,-1.000,59.000,3.500,4.200,9.100,81.400,3.800,1.900,6.500,9.100,4.900,7.800,37.800,4.300,938.100,1.200,2.900,0.900,2.500,10.400,101.800,304.500,10.130,5.120
57,0.056,-0.998,37.900,3.300,30.600,5.800,72.800,3.200,18.800,6.100,8.700,10.300,7.400,43.400,14.500,1140.400,1.400,1.800,0.700,2.800,12.000,101.800,448.600,14.650,6.375
58,0.408,-0.913,19.300,1.800,103.600,5.400,49.600,1.600,12.400,3.000,8.200,15.200,4.300,23.400,17.900,861.100,1.300,1.000,0.300,3.100,13.400,101.800,546.200,23.250,8.814
59,0.616,-0.788,3.900,0.600,49.200,3.200,23.700,1.900,7.500,1.700,2.600,6.400,2.200,23.900,15.800,978.900,1.400,0.600,0.200,3.400,14.100,101.700,581.700,30.610,12.149
60,0.639,-0.769,2.000,1.100,12.600,3.800,16.200,2.600,6.400,1.300,1.300,1.500,2.600,18.200,10.200,888.100,1.200,0.300,0.200,3.200,14.800,101.600,563.500,39.750,16.580
61,0.592,-0.806,4.000,1.100,13.900,3.200,16.500,2.900,6.400,1.700,2.200,2.000,1.700,21.700,12.800,741.500,1.300,0.100,0.200,3.400,15.400,101.600,494.000,41.300,21.170
62,0.810,-0.586,2.300,0.800,14.600,3.400,17.900,2.900,7.200,1.700,3.000,2.500,3.000,22.100,10.600,828.200,1.300,0.400,0.300,3.200,15.800,101.500,360.900,41.200,25.783
63,0.741,-0.672,1.000,1.600,12.000,3.300,13.300,3.500,7.900,1.700,3.900,2.500,3.900,27.800,11.500,933.600,1.300,0.400,0.300,3.000,15.800,101.500,196.400,43.720,30.576
64,0.693,-0.721,3.900,2.800,17.300,5.300,31.600,2.600,9.000,2.200,2.600,2.000,4.300,34.300,8.100,682.400,1.200,0.700,0.500,2.600,15.400,101.500,38.500,36.030,33.814
65,0.625,-0.780,13.500,4.400,14.900,3.700,101.700,3.200,16.600,4.800,5.600,5.900,6.100,16.100,6.800,888.800,1.200,1.000,0.700,1.600,14.900,101.500,1.500,16.510,34.046
66,0.500,-0.866,43.700,3.300,14.600,0.900,132.900,5.700,34.300,6.100,9.100,6.900,7.800,12.600,8.100,1052.300,1.200,1.300,1.100,1.300,14.300,101.600,1.400,3.380,31.563
67,0.429,-0.903,81.700,4.000,12.300,2.100,129.400,6.700,41.800,7.800,13.000,5.400,11.300,15.600,6.000,930.900,1.300,1.700,1.600,0.900,13.800,101.600,1.500,4.010,28.238
68,0.257,-0.966,158.300,4.000,11.000,5.400,124.300,8.300,52.700,11.700,18.700,7.400,13.500,29.900,4.300,1021.700,1.200,2.600,2.300,0.500,13.200,101.600,1.500,3.810,23.745
69,-0.605,-0.797,234.700,1.000,10.700,7.600,121.800,13.400,74.600,16.500,28.200,7.900,23.400,35.100,5.500,1050.900,1.200,3.800,3.300,0.900,12.700,101.600,1.400,5.070,19.216
70,-0.970,-0.242,406.300,4.600,15.200,8.500,119.200,16.300,96.000,18.700,30.800,8.800,32.500,37.800,9.800,1086.500,1.500,6.700,3.900,1.500,11.300,101.600,1.400,8.290,15.103
71,-0.964,-0.267,171.300,6.300,9.700,3.400,95.300,8.000,54.600,10.400,16.100,8.800,20.400,8.700,4.300,1125.700,1.400,7.400,1.900,1.500,9.900,101.500,1.500,4.250,10.169
72,-0.969,-0.247,157.800,6.700,9.200,2.800,88.400,6.100,49.000,9.100,12.600,9.300,18.700,4.800,3.000,950.300,1.400,6.900,1.600,1.700,9.200,101.600,1.500,4.810,6.266
73,-0.993,-0.120,115.100,6.600,7.100,0.600,84.200,5.700,42.200,7.800,9.100,4.900,11.300,23.900,6.800,1058.100,1.400,7.400,1.400,1.600,8.700,101.600,1.500,3.750,4.671
74,-0.944,-0.331,108.600,6.300,5.200,1.600,82.200,5.400,39.900,7.800,10.000,8.800,9.100,31.200,8.100,1119.600,1.400,6.000,1.100,1.400,8.400,101.500,1.500,4.230,4.778
75,-0.997,0.078,61.900,7.000,2.900,6.500,65.800,3.200,33.500,6.500,8.700,4.900,6.500,38.600,6.400,1082.000,2.400,3.900,0.800,1.400,8.300,101.500,1.500,3.940,4.769
76,-1.000,-0.007,92.600,6.300,4.700,2.200,76.900,4.800,33.500,6.900,7.800,5.400,6.900,33.000,5.100,1180.500,2.600,3.100,0.800,1.500,8.200,101.500,1.500,3.840,4.773
77,-0.972,-0.237,185.400,2.700,8.900,2.600,86.300,6.400,47.800,9.500,16.500,10.800,13.000,24.300,3.800,981.800,3.100,3.300,1.600,1.300,7.600,101.500,1.500,5.270,4.798
78,-0.885,-0.465,337.800,2.800,11.200,5.400,104.200,11.800,70.800,15.600,31.200,15.200,23.000,36.500,3.800,1091.200,2.000,4.600,3.100,1.000,7.700,101.600,18.500,7.510,4.700
79,-0.936,-0.352,308.400,2.900,10.700,6.300,103.800,11.200,65.200,13.900,26.500,12.800,19.500,23.900,1.300,926.800,2.000,6.300,2.700,1.200,8.100,101.600,93.500,7.720,5.134
80,-0.995,-0.103,177.400,4.800,8.900,3.800,109.400,10.200,60.600,11.300,21.300,9.300,17.400,24.300,2.600,1125.900,1.500,5.800,2.100,1.300,10.100,101.700,283.300,8.050,5.539
81,-0.996,0.089,92.200,4.200,9.400,2.200,98.300,5.100,66.700,8.700,17.800,9.800,14.800,18.700,2.100,1017.400,2.100,4.400,1.000,1.500,11.700,101.600,332.800,9.130,6.211
82,-1.000,0.002,28.900,3.400,13.100,6.700,60.000,3.200,13.600,3.500,5.600,2.500,4.300,24.300,9.400,961.800,2.300,3.200,0.500,2.300,13.600,101.600,543.700,20.620,8.260
83,-0.972,0.235,5.400,1.500,90.500,4.800,25.200,2.900,17.300,2.200,3.900,8.800,3.500,33.400,11.900,846.000,1.300,2.500,0.300,3.700,14.900,101.400,442.100,41.710,12.981
84,-0.954,0.301,4.800,1.800,125.600,4.300,21.600,4.200,16.200,0.900,5.600,5.900,3.000,19.100,14.500,1041.200,1.200,1.900,0.300,3.400,15.700,101.300,382.000,45.620,18.204
85,-0.855,0.518,6.700,1.200,74.300,4.800,25.900,3.500,10.900,1.700,3.900,2.900,5.200,37.800,16.600,972.500,1.300,1.900,0.300,2.600,16.300,101.300,285.900,45.910,23.284
86,-0.531,0.847,4.900,0.800,51.300,6.600,33.100,4.200,12.800,4.300,6.100,7.400,6.900,57.300,6.000,877.900,1.400,2.100,0.500,3.200,16.500,101.200,205.600,44.800,27.945
87,-0.365,0.931,11.900,2.300,84.500,2.000,76.300,3.800,19.200,3.500,10.800,14.200,6.100,26.000,0.900,898.500,1.200,2.200,0.700,2.800,16.100,101.300,57.000,30.950,30.849
88,0.009,1.000,14.700,1.700,109.900,1.100,110.000,3.500,21.500,4.300,11.300,13.800,6.500,23.900,0.400,1073.200,1.300,2.400,0.800,3.000,15.500,101.200,11.600,20.350,32.386
89,-0.371,0.928,24.400,2.800,65.900,1.100,131.100,4.500,36.200,6.500,11.700,5.900,8.700,20.000,3.000,863.500,1.400,2.400,1.000,2.300,15.500,101.300,1.500,10.260,32.528
90,-0.527,0.850,13.100,2.600,35.300,4.500,98.900,5.700,37.300,6.900,13.000,3.900,10.800,118.500,10.600,875.200,1.200,2.200,0.800,2.900,15.600,101.200,1.500,16.500,32.013
91,-0.641,0.767,10.800,4.600,15.400,5.200,89.700,5.700,36.200,6.900,12.600,2.900,9.500,29.500,13.600,950.700,1.300,1.900,0.800,2.900,15.200,101.200,1.500,13.860,28.531
92,-0.520,0.854,8.700,5.000,7.300,7.600,81.400,5.700,19.200,6.900,13.900,4.900,10.000,15.600,11.100,953.000,1.400,1.700,0.800,2.600,15.300,101.300,1.500,17.900,25.066
93,-0.623,0.783,6.700,3.500,5.800,5.200,84.000,4.800,6.400,6.100,11.300,4.900,8.200,23.000,8.500,906.800,1.200,1.500,0.700,2.500,14.900,101.300,1.500,13.930,21.069
94,-0.683,0.730,5.900,4.200,3.900,7.000,63.900,4.200,11.700,5.200,8.200,4.400,6.100,24.700,6.800,1040.800,1.300,1.300,0.500,3.300,14.300,101.200,1.500,19.470,17.903
95,-0.712,0.702,2.100,3.100,3.900,5.000,48.300,3.500,11.300,4.300,5.600,3.400,3.000,31.700,8.500,871.900,1.200,1.000,0.300,3.500,14.000,101.200,1.500,22.450,16.840
96,-0.676,0.737,1.800,4.000,5.800,5.400,41.400,3.200,8.700,4.300,4.800,2.500,3.000,36.900,8.100,1055.900,1.200,1.100,0.200,3.000,14.500,101.200,1.500,26.280,17.581
97,-0.787,0.617,3.600,3.700,8.900,5.900,43.200,2.200,8.700,4.300,3.900,4.400,4.300,37.300,3.000,873.200,1.200,1.400,0.200,3.200,13.700,101.200,1.500,24.340,19.341
98,-0.586,0.810,2.600,3.300,11.800,6.100,27.600,2.600,7.900,4.300,4.300,4.400,5.200,50.300,5.100,1055.400,1.400,1.500,0.200,3.200,13.800,101.100,1.500,30.370,21.075
99,-0.609,0.793,1.600,3.200,7.100,3.400,32.500,2.600,7.500,3.900,3.900,2.000,2.600,40.400,8.500,983.600,1.200,1.700,0.100,3.800,14.300,101.100,1.500,26.480,22.653
100,-0.752,0.659,2.200,2.800,5.200,3.600,34.000,2.900,6.800,4.300,4.300,5.900,1.700,35.600,11.100,1040.600,1.200,1.500,0.200,4.900,14.200,101.000,1.500,24.920,23.530
101,-0.649,0.760,4.000,3.000,3.400,4.400,64.700,4.200,9.800,4.300,6.100,1.000,3.500,16.100,6.400,962.900,1.200,1.500,0.500,4.600,13.900,101.100,1.500,17.350,23.958
102,-0.555,0.832,11.900,3.000,6.800,7.000,80.300,3.800,3.000,5.600,6.900,3.900,4.800,23.000,5.100,1085.400,1.100,1.500,0.600,5.100,14.200,101.100,12.300,10.830,22.878
103,-0.616,0.788,15.000,1.700,21.700,7.800,62.000,2.900,10.200,5.200,5.600,3.900,3.900,21.300,11.500,875.000,1.100,1.500,0.600,5.000,14.500,101.200,61.100,16.340,22.114
104,-0.644,0.765,6.400,1.600,24.600,4.800,42.900,3.500,11.700,4.300,4.800,3.400,2.600,19.500,10.600,1062.600,1.300,1.400,0.300,5.100,14.700,101.200,131.600,21.270,21.488
105,-0.569,0.822,8.000,2.500,17.000,3.600,42.100,3.200,9.800,3.900,6.500,4.900,3.500,22.100,9.400,941.900,1.200,1.500,0.200,5.100,15.500,101.200,229.200,22.170,21.216
106,-0.419,0.908,14.200,1.000,14.400,4.500,43.600,3.200,12.800,3.500,5.200,2.500,4.300,9.500,9.800,1071.900,1.200,1.400,0.300,5.600,16.300,101.200,222.800,22.430,20.224
107,-0.370,0.929,12.600,1.000,14.600,3.800,45.100,3.200,13.900,2.600,4.800,2.000,5.200,11.700,10.200,849.400,1.200,1.800,0.300,6.200,17.100,101.100,330.800,21.570,19.610
108,-0.210,0.978,27.000,2.200,109.100,7.100,69.900,2.900,16.900,2.600,12.200,19.700,5.200,5.600,6.000,883.800,1.300,2.400,0.500,5.700,18.500,101.000,458.400,23.650,19.451
109,-0.421,0.907,9.000,2.700,52.600,4.400,48.700,2.900,12.100,2.200,6.500,6.900,4.800,16.500,7.200,792.100,1.400,2.500,0.500,7.700,18.700,100.900,261.600,31.950,21.276
110,-0.508,0.862,7.800,6.200,19.100,7.100,47.400,3.500,12.100,3.500,6.500,4.400,4.800,38.600,6.000,891.900,1.300,2.200,0.500,6.500,17.800,100.900,89.400,27.060,23.305
111,-0.609,0.793,9.700,6.700,28.500,7.600,58.100,3.200,16.200,4.800,7.400,5.400,6.100,42.100,7.200,880.400,1.400,1.900,0.600,8.000,17.400,100.800,62.400,28.400,24.813
112,-0.620,0.785,9.600,5.600,25.600,6.500,60.700,3.800,15.800,4.300,6.500,5.400,6.500,39.900,6.000,909.000,1.300,1.500,0.500,8.100,17.600,100.900,16.400,29.580,25.851
113,-0.540,0.842,11.000,6.700,22.800,4.300,89.900,4.800,17.700,4.800,9.500,4.400,7.800,24.300,8.900,989.200,1.400,1.500,0.600,6.100,17.600,100.900,1.500,20.950,25.699
114,-0.589,0.808,9.000,6.900,34.000,5.300,70.500,4.500,19.600,4.800,7.800,6.400,6.100,31.200,6.400,1029.800,1.200,1.700,0.500,7.300,18.200,101.000,1.500,23.620,25.848
115,-0.603,0.798,8.000,4.700,45.500,9.300,63.200,4.200,15.100,3.900,5.600,2.900,5.600,26.900,4.300,638.300,1.400,1.800,0.500,8.500,18.500,101.000,1.500,25.600,26.351
116,-0.640,0.768,6.700,5.900,65.100,9.100,66.400,4.200,15.400,3.900,7.400,6.400,6.100,23.400,5.500,849.600,1.300,2.100,0.500,7.500,18.500,101.000,1.500,24.900,26.508
117,-0.645,0.764,5.900,1.700,50.200,7.200,44.800,4.500,12.400,3.900,4.800,3.400,6.900,39.900,3.400,841.900,1.300,1.800,0.300,7.200,18.500,101.000,1.500,31.000,26.389
118,-0.667,0.745,6.100,4.300,28.500,7.100,47.400,3.200,10.900,3.500,5.600,4.900,4.800,25.600,6.400,841.900,1.400,1.500,0.300,6.100,18.100,101.000,1.500,25.260,26.164
119,-0.975,-0.223,6.100,4.900,10.500,6.700,49.600,2.900,8.300,3.500,3.500,3.400,5.200,20.400,4.700,731.600,1.200,1.700,0.300,4.700,16.800,101.100,1.500,16.830,24.718
120,-0.969,-0.249,4.000,3.200,25.900,5.000,39.700,2.200,6.000,3.000,3.500,4.400,3.500,15.200,6.400,965.100,1.300,2.100,0.300,4.200,16.100,101.100,1.500,18.180,23.293
121,-0.600,-0.800,3.900,6.600,2.400,5.900,46.100,1.600,4.900,3.500,3.000,4.400,3.500,13.500,7.200,1019.900,1.200,2.200,0.300,3.300,15.100,101.100,1.500,12.490,22.235
122,0.129,-0.992,2.700,5.400,2.600,6.600,28.800,1.600,7.200,3.900,3.000,2.900,2.600,34.300,5.100,969.600,1.200,2.200,0.200,2.400,14.400,101.100,1.500,18.270,21.566
123,-0.235,-0.972,5.300,5.600,11.200,4.800,31.800,0.600,7.900,3.500,2.600,5.900,3.900,24.300,4.700,750.000,1.300,2.100,0.200,1.500,14.100,101.100,1.500,16.040,20.371
124,0.136,-0.991,6.900,8.300,3.100,5.600,41.000,1.000,8.300,3.900,3.900,6.400,3.900,33.000,3.400,1002.900,1.200,2.100,0.200,1.900,13.600,101.200,1.500,13.200,18.909
125,0.049,-0.999,7.800,7.300,7.300,7.200,42.900,1.900,9.000,4.800,3.000,2.900,5.600,46.900,3.000,1152.700,1.200,1.800,0.300,1.900,13.600,101.200,1.500,13.490,16.720
126,-0.368,-0.930,11.500,9.000,4.200,7.400,66.700,2.200,14.700,4.800,4.800,6.400,3.900,35.600,6.000,921.900,1.300,1.900,0.500,2.900,13.300,101.400,8.400,7.580,14.510
127,-0.466,-0.885,28.900,6.000,2.600,8.300,65.100,2.200,8.300,4.300,5.200,5.400,5.200,23.900,3.400,997.800,1.200,2.400,0.700,3.000,13.400,101.400,100.400,8.460,13.464
128,-0.302,-0.953,8.200,9.000,2.900,6.400,44.800,2.200,10.900,4.300,4.300,3.900,4.800,20.400,5.100,1201.200,1.300,2.100,0.300,2.500,13.900,101.500,155.600,13.460,12.874
129,0.381,-0.925,28.400,3.800,283.300,7.800,64.900,1.900,17.700,4.800,5.600,13.800,6.100,29.900,7.700,968.000,1.300,2.200,0.500,3.500,14.900,101.500,360.300,16.410,13.364
130,0.384,-0.923,23.800,2.600,248.800,6.900,47.900,2.200,16.600,1.300,4.300,14.700,6.100,3.900,16.200,1007.000,1.300,2.600,0.300,3.400,16.100,101.500,523.800,24.670,14.164
131,0.636,-0.772,7.700,3.800,6.500,4.500,17.500,2.600,6.400,2.200,3.900,4.900,3.900,25.600,2.600,871.400,1.300,2.500,0.200,3.700,17.800,101.500,575.900,30.080,15.919
132,-0.585,0.811,17.900,8.000,13.600,7.400,46.100,4.500,9.400,3.000,4.300,2.900,5.600,15.200,12.300,807.700,1.500,2.600,0.700,4.800,16.600,101.600,287.000,19.850,16.750
